condition,layer,list_index,vocabulary_rank,token_id,token,log_probability,probability
clean,30,3,3,40046, Spider,-9.000466346740723,0.00012335226347204298
clean,30,4,4,48587,spider,-11.750466346740723,7.885646482463926e-06
clean,30,5,5,86757,Spider,-17.12546730041504,3.651775415391967e-08
clean,31,1,1,32261, spider,-0.00015686711412854493,0.9998431205749512
clean,31,2,2,40046, Spider,-9.50015640258789,7.484012166969478e-05
clean,31,3,3,92664, spiders,-9.50015640258789,7.484012166969478e-05
clean,31,4,4,48587,spider,-11.87515640258789,6.961216058698483e-06
clean,31,5,5,16368, insect,-16.12515640258789,9.929641464623273e-08
clean,32,1,1,32261, spider,-0.00012659224739763886,0.9998733997344971
clean,32,2,2,16368, insect,-10.000126838684082,4.5394172047963366e-05
clean,32,3,3,40046, Spider,-10.250126838684082,3.5353015846339986e-05
clean,32,4,4,90707, beetle,-10.875126838684082,1.8923106836155057e-05
clean,32,5,5,43695, crab,-11.625126838684082,8.938642167777289e-06
clean,33,1,1,32261, spider,-7.152301259338856e-05,0.9999284744262695
clean,33,2,2,40046, Spider,-10.25007152557373,3.53549730789382e-05
clean,33,3,3,16368, insect,-11.25007152557373,1.300636722589843e-05
clean,33,4,4,134588, arach,-12.12507152557373,5.421860350907082e-06
clean,33,5,5,90707, beetle,-12.12507152557373,5.421860350907082e-06
edited,22,1,1,92664, spiders,-0.3797907829284668,0.6840044856071472
edited,22,2,2,63272, ants,-1.3797907829284668,0.2516312003135681
edited,22,3,4,32261, spider,-3.879790782928467,0.02065514586865902
edited,22,4,6,30348, insects,-6.379790782928467,0.0016954776365309954
edited,22,5,8,40046, Spider,-9.379791259765625,8.441282261628658e-05
edited,23,1,1,63272, ants,-0.15325157344341278,0.8579138517379761
edited,23,2,2,92664, spiders,-2.1532516479492188,0.11610601097345352
edited,23,3,3,32261, spider,-3.6532516479492188,0.025906752794981003
edited,23,4,4,30348, insects,-9.653251647949219,6.42164159216918e-05
edited,23,5,5,15127, bacteria,-12.653251647949219,3.1971471798897255e-06
edited,24,1,1,63272, ants,-0.030446317046880722,0.9700124859809875
edited,24,2,2,92664, spiders,-3.5304462909698486,0.02929184027016163
edited,24,3,3,32261, spider,-7.280446529388428,0.0006888778880238533
edited,24,4,4,190788, Ants,-13.03044605255127,2.1925484361418057e-06
edited,24,5,5,82404, lizards,-13.03044605255127,2.1925484361418057e-06
edited,25,1,1,63272, ants,-0.002224353840574622,0.9977781176567078
edited,25,2,2,92664, spiders,-6.502224445343018,0.0015000986168161035
edited,25,3,3,32261, spider,-7.252224445343018,0.0007085963734425604
edited,25,4,4,190788, Ants,-11.50222396850586,1.0107589332619682e-05
edited,25,5,5,30348, insects,-13.50222396850586,1.3679134553967742e-06
edited,26,1,1,63272, ants,-0.006936161778867245,0.9930878281593323
edited,26,2,2,32261, spider,-5.006936073303223,0.006691373884677887
edited,26,3,3,92664, spiders,-8.506936073303223,0.0002020619867835194
edited,26,4,4,16368, insect,-11.506936073303223,1.0060073691420257e-05
edited,26,5,5,2314, ant,-12.256936073303223,4.752042514155619e-06
edited,27,1,1,32261, spider,-0.47832033038139343,0.6198236346244812
edited,27,2,2,63272, ants,-0.9783203601837158,0.37594202160835266
edited,27,3,3,92664, spiders,-5.478320121765137,0.004176339600235224
edited,27,4,4,40046, Spider,-10.228320121765137,3.6132416425971314e-05
edited,27,5,5,2314, ant,-11.228320121765137,1.3292373296280857e-05
edited,28,1,1,32261, spider,-0.4153527021408081,0.660107433795929
edited,28,2,2,63272, ants,-1.165352702140808,0.3118126690387726
edited,28,3,3,2314, ant,-3.6653528213500977,0.02559513971209526
edited,28,4,4,92664, spiders,-6.665352821350098,0.0012743069091811776
edited,28,5,5,186153, wasp,-7.165352821350098,0.0007729062344878912
edited,29,1,1,32261, spider,-0.2033151537179947,0.8160210251808167
edited,29,2,2,63272, ants,-2.203315258026123,0.11043642461299896
edited,29,3,3,2314, ant,-3.203315258026123,0.040627289563417435
edited,29,4,4,212513, termite,-3.953315258026123,0.019190972670912743
edited,29,5,5,186153, wasp,-4.453315258026123,0.0116399135440588
edited,30,1,1,32261, spider,-0.25684937834739685,0.7734847068786621
edited,30,2,2,212513, termite,-1.7568494081497192,0.17258776724338531
edited,30,3,3,186153, wasp,-3.7568492889404297,0.023357216268777847
edited,30,4,4,63272, ants,-4.38184928894043,0.0125022167339921
edited,30,5,5,16368, insect,-4.38184928894043,0.0125022167339921
edited,31,1,1,32261, spider,-0.35863712430000305,0.6986278295516968
edited,31,2,2,212513, termite,-1.8586370944976807,0.15588493645191193
edited,31,3,3,186153, wasp,-2.4836370944976807,0.08343919366598129
edited,31,4,4,16368, insect,-2.9836370944976807,0.05060843005776405
edited,31,5,5,63272, ants,-5.98363733291626,0.002519644796848297
edited,32,1,1,186153, wasp,-0.6265578866004944,0.5344281792640686
edited,32,2,2,32261, spider,-1.7515578269958496,0.17350344359874725
edited,32,3,3,212513, termite,-2.0015578269958496,0.13512462377548218
edited,32,4,4,16368, insect,-2.0015578269958496,0.13512462377548218
edited,32,5,5,32737, bee,-4.50155782699585,0.011091704480350018
edited,33,1,1,186153, wasp,-0.18638958036899567,0.829950213432312
edited,33,2,2,212513, termite,-2.936389684677124,0.05305693671107292
edited,33,3,3,32261, spider,-2.936389684677124,0.05305693671107292
edited,33,4,4,32737, bee,-3.561389684677124,0.028399331495165825
edited,33,5,5,16368, insect,-3.686389684677124,0.02506232261657715
