condition,layer,list_index,vocabulary_rank,token_id,token,log_probability,probability
clean,30,3,25,1133, like,-17.5001163482666,2.5107070200647286e-08
clean,30,4,33,40046, Spider,-18.7501163482666,7.193296180929565e-09
clean,30,5,40,67163, crawl,-19.8751163482666,2.335321269697488e-09
clean,31,1,8,32261, spider,-14.500045776367188,5.043245892011328e-07
clean,31,2,24,92664, spiders,-16.875045776367188,4.6909491402402637e-08
clean,31,3,25,1133, like,-17.500045776367188,2.5108843004773007e-08
clean,31,4,27,67163, crawl,-17.875045776367188,1.7257038464890684e-08
clean,31,5,28,735, have,-18.000045776367188,1.5229282723794313e-08
clean,32,1,2,1133, like,-7.251553058624268,0.0007090722792781889
clean,32,2,4,735, have,-8.876553535461426,0.00013962454977445304
clean,32,3,5,1288, such,-9.626553535461426,6.59539655316621e-05
clean,32,4,7,8386, belong,-10.376553535461426,3.115444633294828e-05
clean,32,5,8,8757, spin,-10.501553535461426,2.7493702873471193e-05
clean,33,1,2,1133, like,-5.382187366485596,0.004597753752022982
clean,33,2,3,1288, such,-7.382187366485596,0.0006222383235581219
clean,33,3,5,735, have,-7.882187366485596,0.0003774066281039268
clean,33,4,6,11082, typically,-8.382186889648438,0.00022890880063641816
clean,33,5,6,600, that,-8.382186889648438,0.00022890880063641816
edited,22,1,1,92664, spiders,-0.683147668838501,0.5050248503684998
edited,22,2,2,32261, spider,-0.933147668838501,0.3933137357234955
edited,22,3,3,22790, habitat,-2.433147668838501,0.08776015788316727
edited,22,4,4,30348, insects,-5.433147430419922,0.004369322210550308
edited,22,5,5,121921, mammal,-5.683147430419922,0.0034028314985334873
edited,23,1,4,8075, animals,-7.204958438873291,0.0007428930839523673
edited,23,2,5,121921, mammal,-8.704957962036133,0.00016576192865613848
edited,23,3,5,92664, spiders,-8.704957962036133,0.00016576192865613848
edited,23,4,8,30348, insects,-9.204957962036133,0.00010053969162981957
edited,23,5,9,7626, animal,-9.704957962036133,6.098040466895327e-05
edited,24,1,66,92664, spiders,-43.000911712646484,2.1132034807680483e-19
edited,24,2,72,32261, spider,-44.750911712646484,3.672197243595275e-20
edited,24,3,82,30348, insects,-49.000911712646484,5.238107597475606e-22
edited,24,4,88,1133, like,-53.000911712646484,9.59392911407164e-24
edited,24,5,88,22790, habitat,-53.000911712646484,9.59392911407164e-24
edited,25,1,21,92664, spiders,-22.006729125976562,2.770760287873486e-10
edited,25,2,29,32261, spider,-23.756729125976562,4.814859622115364e-11
edited,25,3,36,30348, insects,-26.006729125976562,5.074824675072032e-12
edited,25,4,57,8075, animals,-29.256729125976562,1.967723130703175e-13
edited,25,5,58,16368, insect,-29.506729125976562,1.5324643409721922e-13
edited,26,1,3,32261, spider,-10.251251220703125,3.5313289117766544e-05
edited,26,2,5,92664, spiders,-11.501251220703125,1.0117426427314058e-05
edited,26,3,17,16368, insect,-16.751251220703125,5.309138373377209e-08
edited,26,4,17,30348, insects,-16.751251220703125,5.309138373377209e-08
edited,26,5,25,1133, like,-19.501251220703125,3.394018399660581e-09
edited,27,1,2,32261, spider,-9.750117301940918,5.828782741446048e-05
edited,27,2,4,92664, spiders,-11.000117301940918,1.6699741536285728e-05
edited,27,3,17,30348, insects,-17.5001163482666,2.5107070200647286e-08
edited,27,4,18,16368, insect,-17.7501163482666,1.9553406005456964e-08
edited,27,5,18,40046, Spider,-17.7501163482666,1.9553406005456964e-08
edited,28,1,6,32261, spider,-14.750012397766113,3.927814873350144e-07
edited,28,2,15,92664, spiders,-17.250011444091797,3.2241498360008336e-08
edited,28,3,27,1133, like,-20.125011444091797,1.8189408867996804e-09
edited,28,4,38,40046, Spider,-21.250011444091797,5.905236299952321e-10
edited,28,5,41,16368, insect,-21.375011444091797,5.211353015788234e-10
edited,29,1,8,32261, spider,-14.625043869018555,4.4506572294267244e-07
edited,29,2,19,92664, spiders,-16.875043869018555,4.6909583772958285e-08
edited,29,3,25,1133, like,-17.875043869018555,1.7257070439313793e-08
edited,29,4,32,16368, insect,-19.500043869018555,3.3981186753351267e-09
edited,29,5,47,1288, such,-21.250043869018555,5.905044786480573e-10
edited,30,1,20,32261, spider,-15.625185012817383,1.6370742628168955e-07
edited,30,2,24,1133, like,-16.875185012817383,4.6902961514661e-08
edited,30,3,28,92664, spiders,-17.750185012817383,1.9552063079686377e-08
edited,30,4,49,1288, such,-20.125185012817383,1.818625139371477e-09
edited,30,5,52,16368, insect,-20.250185012817383,1.6049310769261638e-09
edited,31,1,18,32261, spider,-16.000076293945312,1.1252659248839336e-07
edited,31,2,24,1133, like,-16.500076293945312,6.825082721206854e-08
edited,31,3,25,735, have,-17.125076293945312,3.6532036062908446e-08
edited,31,4,29,67163, crawl,-18.125076293945312,1.3439384716207314e-08
edited,31,5,30,92664, spiders,-18.250076293945312,1.1860215032299948e-08
edited,32,1,2,1133, like,-7.001681804656982,0.0009103496558964252
edited,32,2,4,735, have,-8.87668228149414,0.000139606578159146
edited,32,3,5,1288, such,-9.62668228149414,6.594547448912635e-05
edited,32,4,7,8386, belong,-10.62668228149414,2.425998536637053e-05
edited,32,5,8,600, that,-11.00168228149414,1.6673628124408424e-05
edited,33,1,2,1133, like,-5.133471488952637,0.00589605700224638
edited,33,2,3,1288, such,-7.383471488952637,0.000621439830865711
edited,33,3,4,735, have,-7.633471488952637,0.00048397781210951507
edited,33,4,6,600, that,-8.758471488952637,0.00015712459571659565
edited,33,5,7,815, has,-9.258471488952637,9.530088573228568e-05
